time,icao24,lat,lon,velocity,heading,vertrate,callsign,onground,alert,spi,squawk,baroaltitude,geoaltitude,lastposupdate,lastcontact
1656334510,c060b5,43.52513122558594,-79.38561018123181,125.88750567587245,118.03116787125158,11.3792,POE459  ,False,False,False,6354,1379.22,1379.22,1656334509.825,1656334509.98
1656334510,c064d8,43.67508316040039,-79.60999954578489,,,,ACA991  ,True,False,False,0506,144.78,,1656334509.906,1656334509.943
1656334510,010154,43.6768684387207,-79.61418329283248,46.938610307051064,226.33221985386965,-0.32512,        ,True,False,False,0706,,,1656334509.456,1656334509.456
1656334510,c07d20,43.62876892089844,-79.40270560128346,55.963373854650904,251.2319399331566,0.32512,JZA7953 ,True,False,False,0645,,,1656334478.74,1656334478.785
1656334510,c1e863,43.67068862915039,-79.66839635094931,,,,MTC66   ,True,False,False,,,,1656334258.459,1656334258.459
1656334510,a00e0e,43.1153326519465,-78.9709036690848,75.97242387094823,341.4423623292389,7.152640000000001,N102VS  ,False,False,False,7037,426.72,388.62,1656334509.906,1656334509.907
1656334510,c01c7c,43.50087828555349,-80.44764927455356,47.82116025740254,319.7998361139047,3.2512000000000003,CFKUL   ,False,False,False,5347,868.6800000000001,861.0600000000001,1656334509.906,1656334509.943
1656334510,c05f0a,43.692169189453125,-79.63784861010174,71.68514560167756,226.45389546510887,-1.95072,JZA689  ,False,False,False,1401,160.02,144.78,1656334509.683,1656334509.906
1656334510,c066dd,43.680290610103285,-79.61720057896206,,,,ACA176  ,True,False,False,2152,,,1656334080.94,1656334499.306
1656334510,c041b9,42.960845947265625,-79.66978561046511,176.4610411362335,179.4988835111207,8.45312,SWG438  ,False,False,False,0563,5791.200000000001,5943.6,1656334509.609,1656334509.943
1656334510,a34729,43.52728271484375,-79.72701671511624,140.65504839298356,183.144957464698,14.305280000000002,DAL2188 ,False,False,False,0566,1874.52,1866.9,1656334509.825,1656334509.998
1656334520,010154,43.67686902062368,-79.61419241768971,46.938610307051064,226.33221985386965,-0.32512,        ,True,False,False,0706,,,1656334514.444,1656334519.829
